ensembl_gene_id,external_gene_name,chromosome_name,strand,start_position,end_position,gene_biotype,human_module,zebrafish_module,description
ENSDARG00000032725,rps27a,6,1,6113517,6116350,protein_coding,grey,orange,NA
ENSDARG00000036316,rpl39,14,-1,32991459,32993751,protein_coding,grey,orange,NA
ENSDARG00000100392,rps18,19,-1,19154755,19164172,protein_coding,grey,orange,ribosomal protein S18 [Source:ZFIN;Acc:ZDB-GENE-020419-20]
ENSDARG00000004023,isl1,5,-1,40128460,40133892,protein_coding,yellow,green,ISL LIM homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-980526-112]
ENSDARG00000105037,snrpf,7,1,19122715,19126056,protein_coding,pink,midnightblue,NA
ENSDARG00000076283,snrpd3l,21,1,13230539,13234042,protein_coding,grey,midnightblue,NA
ENSDARG00000055475,rps27.2,16,-1,23873584,23885452,protein_coding,grey,orange,"ribosomal protein S27, isoform 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1735]"
ENSDARG00000020497,rab7,11,-1,16044454,16080508,protein_coding,yellow,turquoise,"RAB7, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-040426-1352]"
ENSDARG00000102047,mab21l1,15,1,33212960,33215221,protein_coding,red,cyan,mab-21-like 1 [Source:ZFIN;Acc:ZDB-GENE-020516-1]
ENSDARG00000087258,ypel2b,15,1,16961532,16978623,protein_coding,blue,green,yippee-like 2b [Source:ZFIN;Acc:ZDB-GENE-110419-2]
ENSDARG00000030408,rps26l,6,-1,49521731,49527421,protein_coding,turquoise,red,NA
ENSDARG00000003153,nudt21,18,-1,22732485,22745936,protein_coding,turquoise,turquoise,nudix hydrolase 21 [Source:ZFIN;Acc:ZDB-GENE-040426-1316]
ENSDARG00000036298,rps13,7,1,26770122,26772820,protein_coding,blue,orange,ribosomal protein S13 [Source:ZFIN;Acc:ZDB-GENE-040625-52]
ENSDARG00000078686,arl8a,22,-1,673036,680892,protein_coding,blue,turquoise,ADP-ribosylation factor-like 8A [Source:ZFIN;Acc:ZDB-GENE-030131-5025]
ENSDARG00000000503,stx1b,19,-1,5241820,5338213,protein_coding,turquoise,salmon,syntaxin 1B [Source:ZFIN;Acc:ZDB-GENE-000330-4]
ENSDARG00000058105,rpl36a,5,1,22006839,22011386,protein_coding,grey,orange,NA
ENSDARG00000089055,ube2ka,14,1,663585,671041,protein_coding,turquoise,turquoise,"ubiquitin-conjugating enzyme E2Ka (UBC1 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-050320-48]"
ENSDARG00000059888,AGO3 (1 of many),16,-1,51137729,51208263,protein_coding,blue,grey,"argonaute 3, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18421]"
ENSDARG00000036875,rps12,23,1,31505425,31509391,protein_coding,grey,orange,NA
ENSDARG00000015266,mab21l2,1,1,23385414,23387270,protein_coding,black,purple,mab-21-like 2 [Source:ZFIN;Acc:ZDB-GENE-011101-3]
ENSDARG00000014867,rpl8,9,-1,33512349,33519041,protein_coding,grey,orange,ribosomal protein L8 [Source:ZFIN;Acc:ZDB-GENE-040426-1670]
ENSDARG00000077553,rap2aa,9,1,1163800,1170912,protein_coding,turquoise,blue,"RAP2A, member of RAS oncogene family a [Source:ZFIN;Acc:ZDB-GENE-121018-1]"
ENSDARG00000008748,ube2na,18,1,15809598,15824651,protein_coding,turquoise,black,ubiquitin-conjugating enzyme E2Na [Source:ZFIN;Acc:ZDB-GENE-040426-2873]
ENSDARG00000027200,gabarapl2,25,-1,34330595,34340344,protein_coding,yellow,turquoise,GABA(A) receptor-associated protein like 2 [Source:ZFIN;Acc:ZDB-GENE-040718-336]
ENSDARG00000092644,ago1,16,-1,51220329,51287850,protein_coding,grey,darkgreen,argonaute RISC catalytic component 1 [Source:ZFIN;Acc:ZDB-GENE-110606-3]
ENSDARG00000029058,rbbp4,19,-1,31412520,31420104,protein_coding,blue,white,retinoblastoma binding protein 4 [Source:ZFIN;Acc:ZDB-GENE-030131-445]
ENSDARG00000006399,ywhae1,15,1,24811179,24819630,protein_coding,turquoise,turquoise,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-030131-779]"
ENSDARG00000053404,PPP2CB (1 of many),21,-1,45310849,45323145,protein_coding,brown,darkorange,NA
ENSDARG00000039522,tubb2,2,-1,1667471,1677238,protein_coding,turquoise,purple,"tubulin, beta 2A class IIa [Source:ZFIN;Acc:ZDB-GENE-050522-384]"
ENSDARG00000054749,lmo4b,6,-1,25943175,25962309,protein_coding,turquoise,grey,LIM domain only 4b [Source:ZFIN;Acc:ZDB-GENE-030131-3570]
ENSDARG00000055229,ncs1a,5,-1,31667406,31845682,protein_coding,turquoise,purple,neuronal calcium sensor 1a [Source:ZFIN;Acc:ZDB-GENE-021220-1]
ENSDARG00000063229,xpo1b,17,1,23945731,23969180,protein_coding,black,blue,"exportin 1 (CRM1 homolog, yeast) b [Source:ZFIN;Acc:ZDB-GENE-070530-6]"
ENSDARG00000036995,lsm6,1,1,35462734,35471973,protein_coding,turquoise,pink,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:ZFIN;Acc:ZDB-GENE-040625-50]"
ENSDARG00000043453,rps5,15,-1,40117891,40124704,protein_coding,grey,grey,NA
ENSDARG00000038967,cul3a,2,-1,47789877,47827290,protein_coding,turquoise,turquoise,cullin 3a [Source:ZFIN;Acc:ZDB-GENE-030131-3376]
ENSDARG00000021557,wdr45b,12,-1,269291,273340,protein_coding,grey,grey,WD repeat domain 45B [Source:ZFIN;Acc:ZDB-GENE-040426-863]
ENSDARG00000015325,u2af1,9,-1,9252409,9264740,protein_coding,grey,salmon,U2 small nuclear RNA auxiliary factor 1 [Source:ZFIN;Acc:ZDB-GENE-020419-1]
ENSDARG00000104810,akt3a,13,-1,11042733,11245880,protein_coding,turquoise,turquoise,v-akt murine thymoma viral oncogene homolog 3a [Source:ZFIN;Acc:ZDB-GENE-050419-180]
ENSDARG00000002538,smu1a,14,1,5922162,5938914,protein_coding,magenta,grey,NA
ENSDARG00000032552,march5,13,-1,42235539,42274587,protein_coding,turquoise,darkturquoise,membrane-associated ring finger (C3HC4) 5 [Source:ZFIN;Acc:ZDB-GENE-070424-47]
ENSDARG00000087346,rap1ab,11,-1,15695887,15740485,protein_coding,purple,darkgreen,"RAP1A, member of RAS oncogene family b [Source:ZFIN;Acc:ZDB-GENE-040426-2738]"
ENSDARG00000103032,rap2b,18,1,50710614,50713150,protein_coding,turquoise,pink,"RAP2B, member of RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-040426-2818]"
ENSDARG00000003573,dctn5,3,-1,35421362,35425301,protein_coding,turquoise,grey,dynactin 5 [Source:ZFIN;Acc:ZDB-GENE-040718-201]
ENSDARG00000015128,rpl27,3,-1,29762098,29768388,protein_coding,grey,orange,ribosomal protein L27 [Source:ZFIN;Acc:ZDB-GENE-030131-4343]
ENSDARG00000041619,gnb2l1,14,1,6639895,6647038,protein_coding,brown,tan,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Source:ZFIN;Acc:ZDB-GENE-990415-89]"
ENSDARG00000019778,rps6,1,-1,44342464,44348300,protein_coding,green,orange,ribosomal protein S6 [Source:ZFIN;Acc:ZDB-GENE-040801-8]
ENSDARG00000006389,smad2,10,-1,14913017,14985162,protein_coding,green,yellow,SMAD family member 2 [Source:ZFIN;Acc:ZDB-GENE-990603-7]
ENSDARG00000100244,ebf3a,12,1,42281039,42424339,protein_coding,red,yellow,early B-cell factor 3a [Source:ZFIN;Acc:ZDB-GENE-070112-292]
ENSDARG00000032116,cnot7,14,1,30073444,30084540,protein_coding,turquoise,blue,"CCR4-NOT transcription complex, subunit 7 [Source:ZFIN;Acc:ZDB-GENE-061013-29]"
ENSDARG00000103379,pax6a,25,-1,14932641,14953381,protein_coding,brown,green,paired box 6a [Source:ZFIN;Acc:ZDB-GENE-990415-200]
ENSDARG00000102317,rpl26,14,1,51848100,51852677,protein_coding,grey,orange,ribosomal protein L26 [Source:ZFIN;Acc:ZDB-GENE-040426-2117]
ENSDARG00000057556,rpl17,21,1,18960867,19030881,protein_coding,black,orange,ribosomal protein L17 [Source:ZFIN;Acc:ZDB-GENE-030131-8585]
ENSDARG00000011125,snrpb,6,-1,57481473,57488547,protein_coding,yellow,darkorange,small nuclear ribonucleoprotein polypeptides B and B1 [Source:ZFIN;Acc:ZDB-GENE-040426-1819]
ENSDARG00000043493,cltca,10,-1,28424406,28482288,protein_coding,turquoise,yellow,"clathrin, heavy chain a (Hc) [Source:ZFIN;Acc:ZDB-GENE-030131-2299]"
ENSDARG00000075616,polr2k,19,1,12058681,12062120,protein_coding,turquoise,turquoise,polymerase (RNA) II (DNA directed) polypeptide K [Source:ZFIN;Acc:ZDB-GENE-070820-18]
ENSDARG00000098497,hrasa,25,-1,25300512,25339401,protein_coding,turquoise,turquoise,v-Ha-ras Harvey rat sarcoma viral oncogene homolog a [Source:ZFIN;Acc:ZDB-GENE-050417-95]
ENSDARG00000031164,tuba8l2,1,1,4704671,4721311,protein_coding,turquoise,brown,"tubulin, alpha 8 like 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1646]"
ENSDARG00000007708,nsa2,21,-1,3638418,3645040,protein_coding,grey,red,NSA2 ribosome biogenesis homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-488]
ENSDARG00000038576,ube2d1b,12,-1,7204163,7219767,protein_coding,black,turquoise,ubiquitin-conjugating enzyme E2D 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2735]
ENSDARG00000100906,CU459186.3,7,1,5853547,5854344,protein_coding,grey,grey,NA
ENSDARG00000071573,lsm5,12,-1,13293223,13298734,protein_coding,yellow,pink,NA
ENSDARG00000105276,grb2a,6,-1,22873428,22910672,protein_coding,turquoise,purple,growth factor receptor-bound protein 2a [Source:ZFIN;Acc:ZDB-GENE-041121-1]
ENSDARG00000005162,tpm3,19,-1,11069620,11113275,protein_coding,turquoise,red,tropomyosin 3 [Source:ZFIN;Acc:ZDB-GENE-030826-16]
ENSDARG00000056831,gng2,13,1,11913000,11956360,protein_coding,turquoise,blue,"guanine nucleotide binding protein (G protein), gamma 2 [Source:ZFIN;Acc:ZDB-GENE-050417-59]"
ENSDARG00000011405,rps9,16,1,31966476,31970284,protein_coding,grey,orange,NA
ENSDARG00000052178,eif2s1b,20,1,51291147,51310045,protein_coding,yellow,lightyellow,"eukaryotic translation initiation factor 2, subunit 1 alpha b [Source:ZFIN;Acc:ZDB-GENE-030131-283]"
ENSDARG00000034504,lmo1,7,-1,27838171,27877117,protein_coding,turquoise,cyan,LIM domain only 1 [Source:ZFIN;Acc:ZDB-GENE-021115-6]
ENSDARG00000006316,rpl23a,21,1,26035179,26037945,protein_coding,grey,orange,ribosomal protein L23a [Source:ZFIN;Acc:ZDB-GENE-030131-7479]
ENSDARG00000015314,zc4h2,5,-1,21569910,21579118,protein_coding,turquoise,black,"zinc finger, C4H2 domain containing [Source:ZFIN;Acc:ZDB-GENE-030131-2207]"
ENSDARG00000029663,rab1ab,13,1,24271956,24281511,protein_coding,turquoise,turquoise,"RAB1A, member RAS oncogene family b [Source:ZFIN;Acc:ZDB-GENE-030616-564]"
ENSDARG00000028793,nlk2,15,1,30276861,30420787,protein_coding,turquoise,turquoise,"nemo-like kinase, type 2 [Source:ZFIN;Acc:ZDB-GENE-080320-1]"
ENSDARG00000038693,gng7,2,-1,37007567,37061448,protein_coding,grey,turquoise,"guanine nucleotide binding protein (G protein), gamma 7 [Source:ZFIN;Acc:ZDB-GENE-040718-93]"
ENSDARG00000068701,gpr85,4,1,6634851,6639035,protein_coding,turquoise,midnightblue,G protein-coupled receptor 85 [Source:ZFIN;Acc:ZDB-GENE-000710-2]
ENSDARG00000025220,sppl3,10,1,17277406,17476444,protein_coding,blue,yellow,signal peptide peptidase 3 [Source:ZFIN;Acc:ZDB-GENE-050913-71]
ENSDARG00000086304,FP236630.1,25,-1,34622273,34622659,protein_coding,black,grey,NA
ENSDARG00000099123,CU459186.2,7,1,5835290,5835950,protein_coding,grey,yellow,NA
ENSDARG00000002026,qkib,13,1,3533388,3713096,protein_coding,blue,darkgreen,"QKI, KH domain containing, RNA binding b [Source:ZFIN;Acc:ZDB-GENE-081028-54]"
ENSDARG00000103472,nedd8l,2,1,38305958,38308028,protein_coding,turquoise,grey,"neural precursor cell expressed, developmentally down-regulated 8, like [Source:ZFIN;Acc:ZDB-GENE-040718-295]"
ENSDARG00000028198,ube2v2,24,-1,35634201,35646176,protein_coding,turquoise,salmon,ubiquitin-conjugating enzyme E2 variant 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2919]
ENSDARG00000018397,hpca,19,-1,33035806,33124230,protein_coding,turquoise,grey,hippocalcin [Source:ZFIN;Acc:ZDB-GENE-040426-1683]
ENSDARG00000105098,dr1,6,-1,23955612,23966867,protein_coding,turquoise,darkred,down-regulator of transcription 1 [Source:ZFIN;Acc:ZDB-GENE-061013-797]
ENSDARG00000038010,rac2,3,1,29379976,29413056,protein_coding,pink,brown,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2) [Source:ZFIN;Acc:ZDB-GENE-040625-27]"
ENSDARG00000068928,CU302436.2,25,-1,34605351,34605737,protein_coding,turquoise,magenta,NA
ENSDARG00000068628,rab8b,7,1,29030347,29039711,protein_coding,turquoise,brown,NA
ENSDARG00000053617,camk2a,21,-1,43901952,43957867,protein_coding,turquoise,pink,calcium/calmodulin-dependent protein kinase II alpha [Source:ZFIN;Acc:ZDB-GENE-051113-72]
ENSDARG00000009607,ccnc,4,-1,5755916,5766937,protein_coding,turquoise,black,cyclin C [Source:ZFIN;Acc:ZDB-GENE-030131-7369]
ENSDARG00000052695,nr2f1a,5,1,49093202,49100038,protein_coding,turquoise,darkred,"nuclear receptor subfamily 2, group F, member 1a [Source:ZFIN;Acc:ZDB-GENE-980526-115]"
ENSDARG00000027552,mapk1,5,-1,12604634,12666903,protein_coding,turquoise,turquoise,mitogen-activated protein kinase 1 [Source:ZFIN;Acc:ZDB-GENE-030722-2]
ENSDARG00000014083,wdr82,6,1,41455443,41463854,protein_coding,turquoise,lightyellow,WD repeat domain 82 [Source:ZFIN;Acc:ZDB-GENE-030131-333]
ENSDARG00000053685,gtf2a2,7,-1,29080349,29084934,protein_coding,blue,grey,"general transcription factor IIA, 2 [Source:ZFIN;Acc:ZDB-GENE-050522-513]"
ENSDARG00000099966,polr2a,12,1,22438848,22452078,protein_coding,yellow,magenta,polymerase (RNA) II (DNA directed) polypeptide A [Source:ZFIN;Acc:ZDB-GENE-041008-78]
ENSDARG00000015649,rap2c,14,-1,30634849,30642697,protein_coding,grey,turquoise,"RAP2C, member of RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-041024-1]"
ENSDARG00000043451,cab39,15,1,40130409,40155878,protein_coding,turquoise,grey,calcium binding protein 39 [Source:ZFIN;Acc:ZDB-GENE-040625-158]
ENSDARG00000067920,rab8a,2,-1,55539492,55565208,protein_coding,magenta,green,"RAB8A, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-070424-36]"
ENSDARG00000009169,mob1ba,5,1,42351699,42362554,protein_coding,brown,darkred,MOB kinase activator 1Ba [Source:ZFIN;Acc:ZDB-GENE-040426-919]
ENSDARG00000008966,tbl1xr1b,2,-1,7966666,8002697,protein_coding,turquoise,royalblue,NA
ENSDARG00000099532,ubl3a,10,-1,36419560,36462804,protein_coding,blue,turquoise,ubiquitin-like 3a [Source:ZFIN;Acc:ZDB-GENE-030131-3431]
ENSDARG00000014690,rps4x,7,-1,51358745,51364629,protein_coding,grey,orange,"ribosomal protein S4, X-linked [Source:ZFIN;Acc:ZDB-GENE-040927-19]"
ENSDARG00000044199,gnat1,6,1,42921397,42932766,protein_coding,grey,lightyellow,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-011128-11]"
ENSDARG00000101984,pde6g,12,-1,36286268,36294320,protein_coding,grey,lightyellow,"phosphodiesterase 6G, cGMP-specific, rod, gamma [Source:ZFIN;Acc:ZDB-GENE-030904-1]"
ENSDARG00000006838,eef1a2,23,-1,16094861,16122802,protein_coding,turquoise,lightcyan,eukaryotic translation elongation factor 1 alpha 2 [Source:ZFIN;Acc:ZDB-GENE-040718-64]
ENSDARG00000033899,ap2m1b,18,1,45957024,45985719,protein_coding,turquoise,midnightblue,"adaptor-related protein complex 2, mu 1 subunit, b [Source:ZFIN;Acc:ZDB-GENE-040426-1103]"
ENSDARG00000039701,emx2,13,1,19191704,19196675,protein_coding,brown,cyan,empty spiracles homeobox 2 [Source:ZFIN;Acc:ZDB-GENE-990415-54]
ENSDARG00000040443,polr2i,18,-1,40919629,40923109,protein_coding,blue,pink,polymerase (RNA) II (DNA directed) polypeptide I [Source:ZFIN;Acc:ZDB-GENE-041010-106]
ENSDARG00000034291,rpl37,21,-1,5030037,5041088,protein_coding,grey,orange,ribosomal protein L37 [Source:ZFIN;Acc:ZDB-GENE-040625-39]
ENSDARG00000038067,smurf2,3,-1,25151399,25239009,protein_coding,brown,purple,SMAD specific E3 ubiquitin protein ligase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-1830]
ENSDARG00000011487,gnaq,5,-1,54918172,54930472,protein_coding,turquoise,darkred,"guanine nucleotide binding protein (G protein), q polypeptide [Source:ZFIN;Acc:ZDB-GENE-081104-25]"
ENSDARG00000044345,cyfip1,6,1,37677184,37753013,protein_coding,greenyellow,magenta,cytoplasmic FMR1 interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8557]
ENSDARG00000007869,ehd3,20,1,38298765,38338980,protein_coding,turquoise,darkgreen,EH-domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-041014-352]
ENSDARG00000018334,rpl35,21,-1,5765557,5774228,protein_coding,grey,orange,ribosomal protein L35 [Source:ZFIN;Acc:ZDB-GENE-020419-2]
ENSDARG00000038543,wdr48b,2,1,50071662,50099822,protein_coding,grey,black,WD repeat domain 48b [Source:ZFIN;Acc:ZDB-GENE-030131-6622]
ENSDARG00000037835,polr3k,3,1,48427752,48431813,protein_coding,turquoise,grey,NA
ENSDARG00000104011,rps17,7,-1,53822639,53828979,protein_coding,grey,orange,ribosomal protein S17 [Source:ZFIN;Acc:ZDB-GENE-040426-1852]
ENSDARG00000037403,HSPA8 (1 of many),15,-1,19725766,19741779,protein_coding,black,lightcyan,si:dkey-4p15.3 [Source:ZFIN;Acc:ZDB-GENE-121214-31]
ENSDARG00000037514,hdac3,14,1,11872901,11899851,protein_coding,turquoise,grey,NA
ENSDARG00000006889,mpped2a,7,1,16096862,16209242,protein_coding,turquoise,turquoise,metallophosphoesterase domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-050417-241]
ENSDARG00000019230,rpl7a,5,-1,32683991,32687538,protein_coding,grey,orange,NA
ENSDARG00000006494,asb7,7,-1,9595830,9628488,protein_coding,grey,grey,ankyrin repeat and SOCS box containing 7 [Source:ZFIN;Acc:ZDB-GENE-040426-2429]
ENSDARG00000078785,tmem258,25,-1,3761611,3767027,protein_coding,blue,midnightblue,transmembrane protein 258 [Source:ZFIN;Acc:ZDB-GENE-040426-1739]
ENSDARG00000017294,gnai2b,6,-1,53051837,53146007,protein_coding,blue,brown,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5861]"
ENSDARG00000100588,rpl36,22,1,3136603,3142183,protein_coding,grey,orange,ribosomal protein L36 [Source:ZFIN;Acc:ZDB-GENE-040622-2]
ENSDARG00000101131,pbx1b,6,-1,2170329,2294610,protein_coding,turquoise,yellow,pre-B-cell leukemia homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-070424-11]
ENSDARG00000012078,meis1b,13,-1,5361965,5440976,protein_coding,blue,purple,Meis homeobox 1 b [Source:ZFIN;Acc:ZDB-GENE-020122-1]
ENSDARG00000099849,ebf1a,14,1,34673342,34910320,protein_coding,red,magenta,early B-cell factor 1a [Source:ZFIN;Acc:ZDB-GENE-081028-51]
ENSDARG00000075567,fbxl20,19,-1,4911765,4934925,protein_coding,turquoise,blue,F-box and leucine-rich repeat protein 20 [Source:ZFIN;Acc:ZDB-GENE-081031-27]
ENSDARG00000014333,ormdl1,9,1,41223186,41233352,protein_coding,yellow,black,ORMDL sphingolipid biosynthesis regulator 1 [Source:ZFIN;Acc:ZDB-GENE-030616-529]
ENSDARG00000025555,ormdl3,12,-1,22109193,22116785,protein_coding,red,lightcyan,NA
ENSDARG00000104889,kpnb1,19,1,48364180,48377425,protein_coding,yellow,yellow,NA
ENSDARG00000102511,cript,12,-1,25002739,25006160,protein_coding,blue,pink,cysteine-rich PDZ-binding protein [Source:ZFIN;Acc:ZDB-GENE-050417-451]
ENSDARG00000055524,rnf7,18,-1,41767071,41775906,protein_coding,yellow,turquoise,ring finger protein 7 [Source:ZFIN;Acc:ZDB-GENE-050220-12]
ENSDARG00000061631,fbxo11a,12,-1,24720500,24783725,protein_coding,turquoise,turquoise,F-box protein 11a [Source:ZFIN;Acc:ZDB-GENE-061103-70]
ENSDARG00000102064,kcna2b,23,-1,5074068,5096691,protein_coding,turquoise,green,"potassium voltage-gated channel, shaker-related subfamily, member 2b [Source:ZFIN;Acc:ZDB-GENE-080204-89]"
ENSDARG00000103403,sar1b,21,1,45622621,45634251,protein_coding,blue,blue,"secretion associated, Ras related GTPase 1B [Source:ZFIN;Acc:ZDB-GENE-040426-1958]"
ENSDARG00000026473,six1b,20,1,20600196,20606245,protein_coding,red,red,SIX homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2308]
ENSDARG00000012261,eftud2,3,-1,16239206,16263835,protein_coding,yellow,grey,NA
ENSDARG00000054818,rpl32,22,1,31089896,31094871,protein_coding,grey,orange,NA
ENSDARG00000056803,ap1s1,7,-1,25973869,25992013,protein_coding,turquoise,turquoise,"adaptor-related protein complex 1, sigma 1 subunit [Source:ZFIN;Acc:ZDB-GENE-040426-1119]"
ENSDARG00000100623,trrap,12,1,17805997,17983242,protein_coding,green,grey,transformation/transcription domain-associated protein [Source:ZFIN;Acc:ZDB-GENE-050809-47]
ENSDARG00000088929,ypel5,20,-1,125314,128364,protein_coding,turquoise,skyblue,yippee-like 5 [Source:ZFIN;Acc:ZDB-GENE-040426-1220]
ENSDARG00000021140,pabpc1b,19,-1,12202416,12226237,protein_coding,purple,turquoise,"poly A binding protein, cytoplasmic 1 b [Source:ZFIN;Acc:ZDB-GENE-050308-1]"
